A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
A, ALPHABET, YES, 152, 10, .066, .046, .0020, 0.0000, 2, 5, 0.0, 0, 13, 9999, ¥, , N, .62, .25, .019, 0, 11, 2, ¥, , N, .50, .25, .062, 1
A, THE, NO, 152, 10, .066, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
A, GRADE, YES, 152, 9, .059, .277, 0.0000, .0013, 0, 5, 1.0, 1, 13, 9999, ¥, , N, .62, .25, .019, 0, 14, 35, 3.70, N, N, 1.00, .54, .025, 1
A, LETTER, YES, 152, 6, .039, 0.000, .0030, .0022, 2, 5, 1.0, 1, 13, 9999, ¥, , N, .62, .25, .019, 0, 15, 145, 5.16, N, N, 1.27, .60, .142, 1
A, PLUS, YES, 152, 5, .033, 0.000, 0.0000, 0.0000, 0, 5, 0.0, 0, 13, 9999, ¥, , N, .62, .25, .019, 0, 4, 52, 2.18, , PP, 1.75, .50, .370, 1
A, AN, NO, 152, 4, .026, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
A, Z, NO, 152, 3, .020, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
A, AND, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
A, APPLE, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 5, 0.0, 0, 13, 9999, ¥, , N, .62, .25, .019, 0, 17, 9, 7.00, , V, 1.82, .77, .090, 1
A, GREAT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 5, 0.0, 0, 13, 9999, ¥, , N, .62, .25, .019, 0, 18, 665, 3.03, G, AJ, 2.69, .44, .081, 1
A, ONE, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 5, 0.0, 0, 13, 9999, ¥, , N, .62, .25, .019, 0, 6, 3292, 3.72, G, AJ, .80, .80, .141, 1
A, WORD, YES, 152, 2, .013, 0.000, 0.0000, .0046, 0, 5, 3.0, 2, 13, 9999, ¥, , N, .62, .25, .019, 0, 20, 274, 5.13, , N, 1.39, .28, .025, 1
AARDVARK, ANIMAL, YES, 152, 49, .322, 0.000, .0210, .0006, 3, 3, 2.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 28, 68, 5.65, , N, 1.81, .74, .053, 1
AARDVARK, ANT, YES, 152, 30, .197, 0.000, .0170, .0010, 1, 3, 1.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 14, 6, 6.00, , N, 1.93, .36, .027, 1
AARDVARK, ANTEATER, YES, 152, 9, .059, .117, .0030, .1152, 1, 3, 3.0, 2, 13, 0, ¥, , N, .80, .10, .007, 1, 9, 1, 6.16, , N, 1.38, .25, .012, 1
AARDVARK, PINK PANTHER, NO, 152, 4, .026, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 0, ¥, , N, .80, .10, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AARDVARK, MUSIC, YES, 152, 3, .020, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 25, 216, 5.15, , N, 2.64, .88, .108, 1
AARDVARK, NOSE, YES, 152, 3, .020, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 15, 60, 6.26, , N, .75, .58, .047, 1
AARDVARK, UGLY, YES, 152, 3, .020, 0.000, .0010, 0.0000, 1, 3, 0.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 14, 21, 3.68, , N, 1.10, .60, .164, 0
AARDVARK, CONFUSED, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 0, ¥, , N, .80, .10, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AARDVARK, DICTIONARY, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 8, 57, 6.29, , N, 1.50, .83, .067, 1
AARDVARK, FUR, YES, 152, 2, .013, 0.000, .0070, .0480, 1, 3, 1.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 13, 13, 6.69, , N, 2.15, .46, .034, 1
AARDVARK, ROAD KILL, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 0, ¥, , N, .80, .10, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AARDVARK, SHELL, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 3, 0.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 17, 22, 5.93, N, N, 1.88, .31, .010, 1
AARDVARK, ZOO, YES, 152, 2, .013, 0.000, .0070, .2090, 1, 3, 1.0, 0, 13, 0, ¥, , N, .80, .10, .007, 1, 8, 9, 5.79, , N, 1.88, .75, .022, 1
ABDOMEN, STOMACH, YES, 152, 86, .566, .021, .0100, .0041, 3, 3, 5.0, 3, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 17, 37, 6.04, G, N, 1.80, .47, .043, 1
ABDOMEN, BODY, YES, 152, 11, .072, 0.000, .0200, .0046, 4, 3, 2.0, 1, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 31, 276, 6.58, , N, 2.03, .45, .015, 1
ABDOMEN, MUSCLE, YES, 152, 7, .046, 0.000, .0070, .0035, 2, 3, 1.0, 0, 12, 6, 6.83, , N, 1.78, .11, .012, 1, 22, 42, 6.00, , N, 1.60, .50, .053, 1
ABDOMEN, SIT UPS, NO, 152, 4, .026, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 6, 6.83, , N, 1.78, .11, .012, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
